Tank,Channel,Fragment.ID,PAR,Height.tank.inch,tank.vol.L,SHORT.AXIS,LONG.AXIS,Surface.area.cm2,coral.height.cm
6,1,R-11_1,0,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_2,32,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_3,56,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_4,80.5,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_5,112.5,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_6,217,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_7,337,9,18.4354875,11.85714,12.55653,148.88,6.5
6,1,R-11_8,452,9,18.4354875,11.85714,12.55653,148.88,6.5
7,2,R-1_1,0,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_2,32,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_3,56,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_4,80.5,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_5,112.5,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_6,217,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_7,337,9.025,18.48669719,11.1892,12.40858,138.84,3.7
7,2,R-1_8,452,9.025,18.48669719,11.1892,12.40858,138.84,3.7
5,5,D-2_1,0,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_2,32,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_3,56,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_4,80.5,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_5,112.5,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_6,217,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_7,337,9,18.4354875,16.78982,18.80021,315.65,0
5,5,D-2_8,452,9,18.4354875,16.78982,18.80021,315.65,0
4,4,D-12_1,0,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_2,32,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_3,56,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_4,80.5,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_5,112.5,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_6,217,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_7,337,9.25,18.94758438,10.20745,14.17147,144.65,0
4,4,D-12_8,452,9.25,18.94758438,10.20745,14.17147,144.65,0
3,3,D-BLANK_1,0,9.625,19.71572969,,,,
3,3,D-BLANK_2,32,9.625,19.71572969,,,,
3,3,D-BLANK_3,56,9.625,19.71572969,,,,
3,3,D-BLANK_4,80.5,9.625,19.71572969,,,,
3,3,D-BLANK_5,112.5,9.625,19.71572969,,,,
3,3,D-BLANK_6,217,9.625,19.71572969,,,,
3,3,D-BLANK_7,337,9.625,19.71572969,,,,
3,3,D-BLANK_8,452,9.625,19.71572969,,,,
8,6,R-BLANK_1,0,9.625,19.71572969,,,,
8,6,R-BLANK_2,32,9.625,19.71572969,,,,
8,6,R-BLANK_3,56,9.625,19.71572969,,,,
8,6,R-BLANK_4,80.5,9.625,19.71572969,,,,
8,6,R-BLANK_5,112.5,9.625,19.71572969,,,,
8,6,R-BLANK_6,217,9.625,19.71572969,,,,
8,6,R-BLANK_7,337,9.625,19.71572969,,,,
8,6,R-BLANK_8,452,9.625,19.71572969,,,,