Date,Sample.ID,Coral.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,10:17,10:37,Dark,1,0,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,10:17,10:37,Dark,1,0,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,10:17,10:37,Dark,1,0,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,10:17,10:37,Dark,1,0,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,10:17,10:37,Dark,1,0,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,10:39,10:59,Light,2,41,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,10:39,10:59,Light,2,41,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,10:39,10:59,Light,2,41,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,10:39,10:59,Light,2,41,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,10:39,10:59,Light,2,41,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,11:01,11:21,Light,3,57,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,11:01,11:21,Light,3,57,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,11:01,11:21,Light,3,57,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,11:01,11:21,Light,3,57,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,11:01,11:21,Light,3,57,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,11:22,11:42,Light,4,108,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,11:22,11:42,Light,4,108,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,11:22,11:42,Light,4,108,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,11:22,11:42,Light,4,108,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,11:22,11:42,Light,4,108,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,11:44,12:04,Light,5,164,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,11:44,12:04,Light,5,164,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,11:44,12:04,Light,5,164,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,11:44,12:04,Light,5,164,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,11:44,12:04,Light,5,164,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,12:06,12:26,Light,6,270,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,12:06,12:26,Light,6,270,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,12:06,12:26,Light,6,270,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,12:06,12:26,Light,6,270,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,12:06,12:26,Light,6,270,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,12:30,12:52,Light,7,465,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,12:30,12:52,Light,7,465,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,12:30,12:52,Light,7,465,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,12:30,12:52,Light,7,465,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,12:30,12:52,Light,7,465,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,12:54,13:14,Light,8,535,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,12:54,13:14,Light,8,535,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,12:54,13:14,Light,8,535,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,12:54,13:14,Light,8,535,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,12:54,13:14,Light,8,535,,
20190822,BLANK_20190822,BLANK,NA,6,6,NA,1,P.astreoides,NA,Blank,NA,23.7,,NA,13:16,13:35,Light,9,625,,
20190822,776_20190822,776,NA,7,7,NA,1,P.astreoides,NA,Sample,,23.1,,105.527,13:16,13:35,Light,9,625,,
20190822,757_20190822,757,NA,8,8,NA,1,P.astreoides,NA,Sample,,23.1,,100.473,13:16,13:35,Light,9,625,,
20190822,737_20190822,737,NA,9,9,NA,1,P.astreoides,NA,Sample,,23.2,,133.277,13:16,13:35,Light,9,625,,
20190822,717_20190822,717,NA,10,10,NA,1,P.astreoides,NA,Sample,,23.3,,116.493,13:16,13:35,Light,9,625,,